,address,kaptAddr
508,서울특별시 강남구 언주로 117,서울특별시 강남구 도곡동 465- 개포4차우성
509,서울특별시 강남구 논현로41길 10,서울특별시 강남구 도곡동 960- 도곡대림
510,서울특별시 강남구 광평로51길 22,서울특별시 강남구 수서동 712- 수서한아름
511,서울특별시 강남구 광평로39길 3,서울특별시 강남구 수서동 738- 수서동익
512,서울특별시 강남구 압구정로 401,서울특별시 강남구 압구정동 513- 압구정한양3단지
513,서울특별시 강남구 언주로 427,서울특별시 강남구 역삼동 720-25 대우디오빌역삼
514,서울특별시 강남구 선릉로69길 20,서울특별시 강남구 역삼동 755-4 역삼e-편한세상
515,서울특별시 강남구 선릉로69길 19,서울특별시 강남구 역삼동 757- 역삼래미안
516,서울특별시 강남구 양재대로55길 12,서울특별시 강남구 일원동 711- 일원동 수서아파트
517,서울특별시 강남구 양재대로55길 10,서울특별시 강남구 일원동 711- 수서1-1단지아파트
518,서울특별시 강남구 개포로109길 5,서울특별시 강남구 개포동 12- SH공사대치1단지
519,서울특별시 강남구 개포로109길 21,서울특별시 강남구 개포동 12- 대청
520,서울특별시 강남구 일원로14길 25,서울특별시 강남구 일원동 719- 푸른마을아파트
521,서울특별시 강남구 개포로110길 15,서울특별시 강남구 일원동 615- 개포7차우성
522,서울특별시 강남구 광평로10길 6,서울특별시 강남구 일원동 731- 한솔마을
523,서울특별시 강남구 광평로10길 15,서울특별시 강남구 일원동 734- 상록수아파트
524,서울특별시 강남구 개포로 516,서울특별시 강남구 개포동 185- 개포주공7단지
579,서울특별시 강남구 언주로 123,서울특별시 강남구 도곡동 464- 도곡개포한신아파트
580,서울특별시 강남구 언주로30길 56,서울특별시 강남구 도곡동 467- 타워팰리스1차
581,서울특별시 강남구 남부순환로363길 30,서울특별시 강남구 도곡동 902-8 도곡쌍용예가
582,서울특별시 강남구 선릉로 221,서울특별시 강남구 도곡동 527- 도곡렉슬
583,서울특별시 강남구 선릉로90길 56,서울특별시 강남구 대치동 891-23 대치대우아이빌4차
584,서울특별시 강남구 도곡로78길 22,서울특별시 강남구 대치동 1014-3 대치삼성
585,서울특별시 강남구 삼성로 150,서울특별시 강남구 대치동 511- 대치미도맨션
586,서울특별시 강남구 테헤란로 428,서울특별시 강남구 대치동 891-6 테헤란로대우아이빌
587,서울특별시 강남구 선릉로 222,서울특별시 강남구 대치동 888- 대치아이파크
588,서울특별시 강남구 선릉로 206,서울특별시 강남구 대치동 670- 대치동부센트레빌
589,서울특별시 강남구 선릉로 120,서울특별시 강남구 대치동 500- 개포1차2차우성
590,서울특별시 강남구 언주로 202,서울특별시 강남구 도곡동 91-5 도곡삼성래미안
591,서울특별시 강남구 광평로56길 11,서울특별시 강남구 수서동 723- 서울주택도시공사 수서6단지
592,서울특별시 강남구 광평로34길 55,서울특별시 강남구 수서동 559- 강남데시앙포레
593,서울특별시 강남구 학동로4길 15,서울특별시 강남구 논현동 122-8 동화히스토리
594,서울특별시 강남구 도산대로89길 49,서울특별시 강남구 청담동 108- 청담건영아파트
595,서울특별시 강남구 역삼로 314,서울특별시 강남구 역삼동 755-1 역삼개나리푸르지오
596,서울특별시 강남구 언주로86길 11,서울특별시 강남구 역삼동 706-20 한화진넥스빌
597,서울특별시 강남구 도곡로43길 20,서울특별시 강남구 역삼동 763-16 래미안그레이튼3차
598,서울특별시 강남구 역삼로 315-1,서울특별시 강남구 역삼동 716-3 개나리SKVIEW
599,서울특별시 강남구 개포로 409,서울특별시 강남구 개포동 177- 개포현대3차
600,서울특별시 강남구 개포로 411,서울특별시 강남구 개포동 179- 개포우성8차
601,서울특별시 강남구 언주로146길 18,서울특별시 강남구 논현동 105- 논현동현
602,서울특별시 강남구 언주로116길 6,서울특별시 강남구 논현동 275- 논현동부센트레빌
603,서울특별시 강남구 영동대로 230,서울특별시 강남구 대치동 63- 대치우성1차아파트
604,서울특별시 강남구 영동대로 210,서울특별시 강남구 대치동 66- 쌍용대치1차
605,서울특별시 강남구 삼성로 212,서울특별시 강남구 대치동 316- 은마
606,서울특별시 강남구 삼성로 151,서울특별시 강남구 대치동 506- 대치선경
607,서울특별시 강남구 삼성로64길 5,서울특별시 강남구 대치동 974- 대치현대
608,서울특별시 강남구 언주로29길 34,서울특별시 강남구 도곡동 463-1 개포우성5차
609,서울특별시 강남구 도곡로 320,서울특별시 강남구 도곡동 538- 래미안도곡카운티
610,서울특별시 강남구 논현로 213,서울특별시 강남구 도곡동 963- 역삼럭키
1520,서울특별시 강남구 남부순환로381길 15,서울특별시 강남구 도곡동 164-6 도곡동 포스코트 아파트
1527,서울특별시 강남구 삼성로64길 12,서울특별시 강남구 대치동 988-4 대치효성
1535,서울특별시 강남구 영동대로114길 56,서울특별시 강남구 삼성동 103-22 래미안삼성1차103단지
1540,서울특별시 강남구 역삼로 109,서울특별시 강남구 역삼동 831-45 역삼SK허브젠
1553,서울특별시 강남구 영동대로114길 56,서울특별시 강남구 삼성동 104-10 래미안삼성1차104단지
1576,서울특별시 강남구 언주로 604,서울특별시 강남구 논현동 276- 아크로힐스논현
1581,서울특별시 강남구 도산대로50길 43,서울특별시 강남구 논현동 103- 논현쌍용
1582,서울 강남구 강남대로112길 41,서울특별시 강남구 논현동 196- 거평
1585,서울특별시 강남구 자곡로3길 45,서울특별시 강남구 자곡동 618- 강남브리즈힐
1606,서울특별시 강남구 밤고개로26길 50,서울특별시 강남구 율현동 336- 강남한신휴플러스 6단지
1623,서울특별시 강남구 선릉로112길 53,서울특별시 강남구 삼성동 43- 삼성동롯데캐슬킹덤아파트
1631,서울특별시 강남구 광평로34길 35,서울특별시 강남구 수서동 537- 강남더샵포레스트
1651,서울특별시 강남구 남부순환로365길 33,서울특별시 강남구 도곡동 893-2 도곡한라비발디아파트
1658,서울특별시 강남구 언주로 420,서울특별시 강남구 역삼동 711-1 역삼자이아파트
1671,서울특별시 강남구 자곡로7길 36-1,서울특별시 강남구 세곡동 541- 강남효성해링턴코트
1696,서울특별시 강남구 학동로105길 30,서울특별시 강남구 청담동 134-16 청담신동아아파트
1718,서울특별시 강남구 삼성로51길 25,서울특별시 강남구 대치동 1029- 대치SK VIEW
1724,서울특별시 강남구 영동대로138길 12,서울특별시 강남구 청담동 134-38 청담자이
1747,서울특별시 강남구 개포로110길 50,서울특별시 강남구 일원동 690-2 래미안개포루체하임
1764,서울특별시 강남구 삼성로 629,서울특별시 강남구 삼성동 188- 삼성동센트럴아이파크
1786,서울특별시 강남구 선릉로 8,서울특별시 강남구 개포동 1280- 래미안블레스티지
1788,서울특별시 강남구 개포로110길 43,서울특별시 강남구 일원동 615-1 개포한신
1827,서울특별시 강남구 광평로60길 32,서울특별시 강남구 수서동 721-1 수서하니움
1836,서울특별시 강남구 영동대로142길 25,서울특별시 강남구 청담동 130- 청담아이파크아파트
1837,서울특별시 강남구 압구정로 313,서울특별시 강남구 압구정동 484- 압구정한양아파트제2단지
1841,서울특별시 강남구 테헤란로63길 12,서울특별시 강남구 삼성동 142-3 선릉에클라트
1869,서울특별시 강남구 남부순환로379길 14,서울특별시 강남구 도곡동 161- 도곡삼성
1936,서울특별시 강남구 영동대로 220,서울특별시 강남구 대치동 65- 대치쌍용2차
1959,서울특별시 강남구 압구정로29길 71,서울특별시 강남구 압구정동 369-1 압구정현대아파트
1978,서울특별시 강남구 논현로 565,서울특별시 강남구 역삼동 606-18 역삼휴먼터치빌
1981,서울특별시 강남구 도곡로18길 34,서울특별시 강남구 도곡동 961- 도곡현대
1983,서울특별시 강남구 언주로30길 13,서울특별시 강남구 도곡동 467-6 도곡대림아크로빌
2003,서울특별시 강남구 압구정로 113,서울특별시 강남구 압구정동 397- 압구정미성2차
2015,서울특별시 강남구 역삼로 436,서울특별시 강남구 대치동 910-6 대치풍림아이원아파트 1.2단지
2016,서울특별시 강남구 삼성로85길 11,서울특별시 강남구 대치동 893- 대치롯데캐슬아파트
2020,서울특별시 강남구 광평로19길 15,서울특별시 강남구 일원동 716- 일원목련타운
2030,서울특별시 강남구 도산대로96길 39,서울특별시 강남구 청담동 60- 삼성청담공원
2031,서울특별시 강남구 도곡로57길 12,서울특별시 강남구 역삼동 765-32 역삼2차아이파크
2034,서울특별시 강남구 영동대로112길 67,서울특별시 강남구 삼성동 100-14 동일파크스위트
2049,서울특별시 강남구 압구정로48길 15,서울특별시 강남구 신사동 659- 압구정대원칸타빌아파트
2053,서울특별시 강남구 도곡로93길 12,서울특별시 강남구 대치동 985- 래미안대치하이스턴
2059,서울특별시 강남구 학동로77길 27,서울특별시 강남구 청담동 30-33 청담대림
2068,서울특별시 강남구 헌릉로590길 63,서울특별시 강남구 세곡동 525- 강남데시앙파크
2082,서울특별시 강남구 자곡로3길 22,서울특별시 강남구 자곡동 621- 강남에버시움
2104,서울특별시 강남구 강남대로 240,서울특별시 강남구 도곡동 953-1 양재SK허브프리모
2141,서울특별시 강남구 개포로 264,서울특별시 강남구 개포동 1282- 개포래미안포레스트
2155,서울특별시 강남구 압구정로50길 28,서울특별시 강남구 신사동 658- 로데오현대아파트
2156,서울특별시 강남구 도곡로43길 21,서울특별시 강남구 역삼동 762-3 래미안그레이튼
2186,서울특별시 강남구 광평로47길 17,서울특별시 강남구 수서동 736- 수서신동아
2206,서울특별시 강남구 광평로19길 10,서울특별시 강남구 수서동 746- 수서까치마을
2209,서울특별시 강남구 개포로109길 69,서울특별시 강남구 개포동 12-2 개포자이아파트
2215,서울특별시 강남구 도곡로13길 19,서울특별시 강남구 역삼동 835-68 롯데캐슬노블
2239,서울특별시 강남구 논현로 661,서울특별시 강남구 논현동 130-9 논현 기린힐스
2250,서울특별시 강남구 언주로122길 25,서울특별시 강남구 논현동 258- 논현두산2차아파트
2255,서울특별시 강남구 언주로86길 12,서울특별시 강남구 역삼동 710- 현대까르띠에710아파트
2256,서울특별시 강남구 봉은사로73길 23,서울특별시 강남구 삼성동 48- 삼성동한일아파트
2260,서울특별시 강남구 영동대로57길 28,서울특별시 강남구 대치동 992- 대치1차현대아파트
2274,서울특별시 강남구 도산대로70길 25,서울특별시 강남구 청담동 14- 청담2차e편한세상아파트
2309,서울특별시 강남구 도곡로7길 22,서울특별시 강남구 역삼동 835-67 역삼금호어울림
2310,서울특별시 강남구 도곡로 404,서울특별시 강남구 대치동 1025- 롯데캐슬리베아파트
2313,서울특별시 강남구 언주로 203,서울특별시 강남구 도곡동 966- 매봉삼성아파트
2329,서울특별시 강남구 테헤란로77길 26,서울특별시 강남구 삼성동 129- 삼성동대성유니드
2341,서울특별시 강남구 삼성로 417,서울특별시 강남구 대치동 902- 대치포스코더샵
2349,서울특별시 강남구 언주로30길 57,서울특별시 강남구 도곡동 467-17 타워팰리스2차
2379,서울특별시 강남구 강남대로146길 28,서울특별시 강남구 논현동 22- 논현신동아
2387,서울특별시 강남구 언주로 110,서울특별시 강남구 개포동 649- 개포경남아파트
2413,서울특별시 강남구 영동대로 22,서울특별시 강남구 일원동 611-1 디에이치 자이 개포
2414,서울특별시 강남구 삼성로4길 17,서울특별시 강남구 개포동 187- 개포주공5단지
2421,서울특별시 강남구 개포로110길 38,서울특별시 강남구 일원동 690-1 디에이치포레센트아파트
2427,서울특별시 강남구 압구정로 309,서울특별시 강남구 압구정동 481- 압구정현대8차
2429,서울 강남구 학동로 338,서울특별시 강남구 논현동 241-1 강남파라곤
2440,서울특별시 강남구 언주로30길 21,서울특별시 강남구 도곡동 467-7 아카데미스위트
2444,서울특별시 강남구 삼성로 651,서울특별시 강남구 삼성동 19-4 래미안 라클래시
2452,서울특별시 강남구 영동대로128길 5,서울특별시 강남구 삼성동 78-4 삼성청구타운
2469,서울특별시 강남구 압구정로29길 69,"서울특별시 강남구 압구정동 436- 압구정 현대(10,13,14차)"
2491,서울 강남구 학동로 409,서울특별시 강남구 청담동 43- 청담우방아파트
2520,서울특별시 강남구 삼성로111길 8,서울특별시 강남구 삼성동 50- 삼성동힐스테이트2단지
2532,서울특별시 강남구 도산대로92길 10,서울특별시 강남구 청담동 50-5 청담대우유로카운티
2564,서울특별시 강남구 학동로68길 30,서울특별시 강남구 삼성동 14-1 삼성동중앙하이츠빌리지
2568,서울특별시 강남구 자곡로3길 21,서울특별시 강남구 자곡동 619- 강남자곡힐스테이트아파트
2572,서울 강남구 압구정로2길 20,서울특별시 강남구 신사동 506-9 신사삼성래미안아파트
2576,서울특별시 강남구 도곡로93길 23,서울특별시 강남구 대치동 977- 대치르엘
2582,서울 강남구 학동로 412,서울특별시 강남구 삼성동 3-3 삼성석탑아파트
2583,서울특별시 강남구 일원로 120,서울특별시 강남구 일원동 718- 일원샘터마을
2588,서울특별시 강남구 개포로 311,서울특별시 강남구 개포동 651-1 개포더샵트리에
2592,서울특별시 강남구 테헤란로44길 26,서울특별시 강남구 역삼동 712-1 강남센트럴아이파크
2598,서울특별시 강남구 삼성로57길 37-3,서울특별시 강남구 대치동 633- 래미안 대치 팰리스
2619,서울특별시 강남구 압구정로42길 78,서울특별시 강남구 신사동 632- 압구정하이츠파크
2650,서울특별시 강남구 강남대로84길 33,서울특별시 강남구 역삼동 824-25 대우디오빌플러스
2655,서울특별시 강남구 압구정로 347,서울특별시 강남구 압구정동 490- 압구정한양아파트제1단지
2681,서울특별시 강남구 광평로51길 49,서울특별시 강남구 수서동 707- 수서주공
2687,서울특별시 강남구 역삼로 306,서울특별시 강남구 역삼동 754- 역삼개나리래미안
2696,서울특별시 강남구 밤고개로27길 20,서울특별시 강남구 율현동 217- 강남한신휴플러스 8단지
2707,서울특별시 강남구 삼성로 11,서울특별시 강남구 개포동 138- 디에이치 아너힐즈
2717,서울특별시 강남구 자곡로 175,서울특별시 강남구 자곡동 602- 강남자곡아이파크
2724,서울특별시 강남구 헌릉로590길 100,서울특별시 강남구 세곡동 508- 강남신동아파밀리에1단지
2734,서울특별시 강남구 개포로110길 21,서울특별시 강남구 일원동 614- 개포4차현대아파트
2745,서울특별시 강남구 영동대로72길 10,서울특별시 강남구 대치동 1007-1 대치풍림아이원3.4차아파트
2752,서울특별시 강남구 개포로 516,서울특별시 강남구 개포동 185- 개포주공6단지
2755,서울특별시 강남구 언주로 3,서울특별시 강남구 개포동 658-1 개포6차우성아파트
2782,서울특별시 강남구 영동대로 16,서울특별시 강남구 일원동 688- 개포상록스타힐스
2801,서울특별시 강남구 논현로 205,서울특별시 강남구 도곡동 895-8 도곡한신
2807,서울특별시 강남구 선릉로94길 15,서울특별시 강남구 삼성동 140-32 삼성동 마에스트로
2834,서울특별시 강남구 언주로30길 26,서울특별시 강남구 도곡동 467-29 타워팰리스G동
2845,서울특별시 강남구 자곡로11길 11,서울특별시 강남구 자곡동 - 디아크리온강남 아파트
2847,서울특별시 강남구 선릉로130길 20,서울특별시 강남구 삼성동 7-3 삼성래미안2차
2848,서울특별시 강남구 개포로 310,서울특별시 강남구 개포동 660-4 디에이치퍼스티어아이파크
2869,서울특별시 강남구 강남대로 256,서울특별시 강남구 도곡동 952- 도곡동양재디오빌
2871,서울특별시 강남구 봉은사로 125,서울특별시 강남구 논현동 202-7 리스트강남
2875,서울특별시 강남구 삼성로 14,서울특별시 강남구 개포동 189- 개포자이프레지던스
2894,서울특별시 강남구 삼성로72길 12,서울특별시 강남구 대치동 963- 대치푸르지오써밋
2916,서울특별시 강남구 밤고개로 165,서울특별시 강남구 자곡동 335- LH수서1단지(행복주택)
2923,서울특별시 강남구 봉은사로 333,서울특별시 강남구 논현동 278-4 선정릉역 모아엘가퍼스트홈
2931,서울 강남구 언주로136길 21,서울특별시 강남구 논현동 107-44 논현우민아파트
2957,서울 강남구 봉은사로11길 12,서울특별시 강남구 논현동 195-1 논현 e편한세상
2974,서울특별시 강남구 자곡로 260,서울특별시 강남구 자곡동 77- 강남한양수자인
2993,서울특별시 강남구 영동대로112길 15,서울특별시 강남구 삼성동 106- 삼성풍림아파트1차
3038,서울 강남구 삼성로99길 14,서울특별시 강남구 삼성동 126- 삼성파크아파트
3047,서울특별시 강남구 언주로 332,서울특별시 강남구 역삼동 754-1 역삼푸르지오
3055,서울 강남구 봉은사로105길 12-7,서울특별시 강남구 삼성동 104- 삼성풍림2차아파트
3069,서울특별시 강남구 자곡로11길 28,서울특별시 강남구 자곡동 138-2 LH 수서2단지
3073,서울특별시 강남구 언주로 563,서울특별시 강남구 역삼동 653-4 원에디션강남
3102,서울특별시 강남구 선릉로 748,서울특별시 강남구 청담동 23- 청담2차현대아파트
3152,서울특별시 강남구 자곡로 101,서울특별시 강남구 자곡동 611- 래미안강남힐즈
3165,서울 강남구 언주로 316,서울특별시 강남구 역삼동 761-10 대림역삼아파트
3170,서울 강남구 학동로97길 51,서울특별시 강남구 청담동 67-1 청담린든그로브아파트
3223,서울 강남구 논현로131길 44,서울특별시 강남구 논현동 40- 브라이튼N40
